AUTHOR_YEAR	FULL_REFERENCE
Lalli 1970	Lalli, C. 1970. Structure and function of the buccal apparatus of Clione limacina (Phipps) with a review of feeding in gymnosomatous pteropods. Journal of Experimental Marine Biology and Ecology, 4: 101-118.
Laptikhovsky et al. 2001	Laptikhovsky, V.V, Arkhipkin, A. I., and Henderson, A. C. 2001. Feeding habits and dietary overlap in spiny dogfish Squalus acanthias ( Squalidae ) and narrowmouth catshark Schroederichthys bivius ( Scyliorhinidae ). Journal of Marine Biological Association of the U.K., 81: 1015-1018.
Lass et al. 2001	Lass, S., Tarling, G., Virtue, P., Matthews, J., Mayzaud, P., and Buchholz, F. 2001. On the food of northern krill Meganyctiphanes norvegica in relation to its vertical distribution. Marine Ecology Progress Series, 214: 177-200.
Lawson et al. 1997	Lawson, J. W., Miller, E. H., Noseworthy, E. 1997. Variation in assimilation efficiency and digestive efficiency of captive harp seals (Phoca groenlandica) on different diets." Canadian Journal of Zoology-Revue Canadienne De Zoologie 75(8): 1285-1291.
Leclerc et al. 2011	Leclerc, L.-M., Lydersen, C., Haug, T., Glover, K. A., Fisk, A. T., and Kovacs, K. M. 2011. Greenland sharks (Somniosus microcephalus) scavenge offal from minke (Balaenoptera acutorostrata) whaling operations in Svalbard (Norway).
Lindstrøm et al. 1998	Lindstrøm, U., Harbitz A., Haug, T. and Nilssen, K. 1998. Do harp seals Phoca groenlandica exhibit particular prey preferences? ICES Journal of Marine Science 55, 941 953.
Lipps & Valentine 2007	Lipps, J. H., Valentine, J.W. 1970. The role of foraminifera in the trophic structure of marine communities. Lethaia. 3: 279-286
Lovrich & Bernard 1997	Lovrich, G. A., Sainte-Marie, B. 1997. Cannibalism in the snow crab, Chionoecetes opilio (O. Fabricius)(Brachyura: Majidae), and its potential importance to recruitment. Journal of Experimental Marine Biology and Ecology. 211: 225-245
Lønne & Gabrielsen 1992	Lønne, O. J., and Gabrielsen, G. W. 1992. Summer diet of seabirds feeding in sea-ice-covered waters near Svalbard. Polar Biology, 12: 685-692.
Lønne & Gulliksen 1989	Lønne, O. J., and Gulliksen, B. 1989. Size, age and diet of polar cod, Boreogadus saida (Lepechin 1773), in ice covered waters. Polar Biology, 9: 187-191.
Macdonald 1927	Macdonald, R. 1927. Food and habits of Meganyctiphanes norvegica. Journal of the Marine Biological Association of the UK, 14: 753-784.
Markham & Ryland 1987	Markham, J., and Ryland, J. S. 1987. Function of the gizzard in Bryozoa. Journal of Experimental Marine Biology and Ecology, 107: 21-37.
Martinussen & Båmstedt 1999	Martinussen, M. B., and Båmstedt, U. 1999. Nutritional ecology of gelatinous planktonic predators. Digestion rate in relation to type and amount of prey. Journal of Experimental Marine Biology and Ecology, 232: 61-84.
Matsakis & Conover 1991	Matsakis, S., and Conover, R. J. 1991. Abundance and feeding of medusae and their potential impact as predators on other zooplankton in Bedford Basin (Nova-Scotia, Canada) during spring. Canadian Journal of Fisheries and Aquatic Sciences, 48: 1419-1430.
Mattson 1981	Mattson, S. 1981. The food of Galeus melastomus, Gadiculus argenteus thori, Trisopterus esmarkii, Rhinonemus cimbrius, and Lyptocephalus cynoglossus (pisces) caught during the day with shrimp trawl in a west-norwegian fjord. Sarsia, 66: 109-127.
Mattson 1992	Mattson, S. 1992. Food and feeding habits of fish species over a soft sublittoral bottom in the Northeast Atlantic. 3 Haddock (Melanogrammus aeglefinus (L.)) (Gadidae). Sarsia, 77: 33-45.
Mauchline 1998	Mauchline J. 1998. Advances in marine biology - The biology of calanoid copepods – Introduction. Advances in Marine Biology. 3 
Mauchline & Gordon 1983	Mauchline, J., and Gordon, J. D. M. 1983. Diets of clupeoid, stomiatoid, and salmonoid fish of the Rockall trough northeastern Atlantic Ocean. Marine Biology, 77: 67-78.
McMeans et al. 2010	McMeans, B. C., Svavarsson, J., Dennard, S., and Fisk, A. T. 2010. Diet and resource use among Greenland sharks (Somniosus microcephalus) and teleosts sampled in Icelandic waters, using _13C, _15N, and mercury. Canadian Journal of Fisheries and Aquatic Sciences, 67: 1428-1438.
Mehl 1991	Mehl, S. 1991. The Northeast Arctic cod stock's place in the Barents Sea ecosystem in the 1980s: an overview. Polar Research, 10: 525-534.
Michalsen & Nedreaas 1998	Michalsen K.  and Nedreaas K.H. 1998. Food and feeding of Greenland halibut (Reinhardtius hippoglossoides, Walbaum) in the Barents Sea and East Greenland waters. Sarsia. 83: 404 - 407
Mironova 1957	Mironova, N.V. 1957. Feeding of young cod, haddock and saithe. Tr. Vses. Gidrobiol. Obshch., 8. (In Russian).
Mironova 1961	Mironova, N. V. 1961. Biology of the Barents Sea Saithe, Pollachius virens (L.). Int. Revue ges. Hydrobiol., 46: 447-459.
Moller & Riisgard 2007	Moller, L. F., and Riisgard, H. U. 2007. Feeding, bioenergetics and growth in the common jellyfish Aurelia aurita and two hydromedusae, Sarsia tubulosa and Aequorea vitrina. Marine Ecology-Progress Series, 346: 167-177.
Moller-Buchner et al. 1984	Moller-Buchner, J., C. D. Zander, and D. Westphal. 1984. On the feeding habits of some demersal and suprademersal fish from Fladen Ground, North Sea. Zoologischer Anzeiger 213:128-144."
Moura et al. 2005	Moura, T., Figueiredo, I., Bordalo-Machado, P., and Gordo, L. S. 2005. Feeding habits of Chimaera monstrosa L (Chimaeridae) in relation to its ontogenetic development on the southern Portuguese continental slope. Marine Biology Research, 1: 118-126.
Nelson & Ross 1992	Nelson G.A and Ross M.R. 1992. Distribution, Growth and Food Habitats of the Atlantic Wolffish (Anarhichas lupus) from the Gulf of Maine-Georges Bank region. Journal of Northatlantic Fishery Science. Vol 13: 53-61
Neuheimer et al. 2010	Neuheimer A, Gentleman W, Pepin P, Head EJH (2010) Explaining regional variability in copepod recruitment: Implications for a changing climate. Prog Oceanogr 87: 94–105
Nøttestad & Olsen 2004	Nøttestad, L., and Olsen, E. 2004. Whales and seals: top predators in the ecosystem. In The Norwegian Sea Ecosystem, pp. 395-434. Ed. by H. R. SKJOLDAL. Tapir Academic Press, Trondheim.
Ojowski et al. 2001	Ojowski U., Eidtmann C., Furness R.W., Garthe S. 2001. Diet and nest attendance of incubating and chick-rearing northern fulmars (Fulmarus glacialis) in Shetland. Marine Biology. 139: 1193-1200
Ottensen 2004	Ottensen, C. 2004. Taxonomy, morphology and biology of Triglops murrayi and Triglops nybelini (family Cottidae) obtained at Svalbard and Jan Mayen. Cand. Scient. thesis. University of Tromsø.
Pardo & Amaral 2004	Pardo, E. V., and Amaral, A. C. Z. 2004. Feeding behavior of the cirratulid Cirriformia filigera (Delle Chiaje, 1825) (Annelida: Polychaeta). Brazilian journal of biology, 64: 283-288.
Parsons 2005	Parsons, D. G. 2005b. Predators of northern shrimp, Pandalus borealis (Pandalidae), throughout the North Atlantic. Marine Biology Research, 1: 48-58.
Pasternak et al. 2008	Pasternak, A., Arashkevich, E., Reigstad, M., Wassmann, P., Falk-Petersen, S. 2008. Dividing mesozooplankton into upper and lower size groups: applications to the grazing impact in the Marginal Ice Zone of the Barents Sea. Deep Sea Research Part II: Topical Studies in Oceanography. 55:2245-2256
Pearson & Gage 1975	Pearson, M., and Gage, J. D. 1984. Diets of some deep-sea brittle stars in the Rockall Trough. Marine Biology, 82: 247-258.
Pedersen & Falk 2001	Pedersen, C. E., and Falk, K. 2001. Chick diet of dovekies Alle alle in Northwest Greenland. Polar Biology, 24: 53-58.
Pedersen 1995	Pedersen S. A. 1995. Feeding habits of starry ray (Raja radiata) in west Greenland waters. ICES Journal of marine Science. 52: 43-53
Pedersen 1999	Pedersen, L. 1999. The significance of food web structure for the condition and tracer lipid content of juvenile snail fish (Pisces: Liparis spp.) along 65-72degN off West Greenland. Journal of Plankton Research, 21: 1593-1611.
Petch 1986	Petch, D. A. 1986. Selective deposit-feeding by Lumbrineris cf latreilli (Polychaeta: Lumbrineridae), with a new method for assessing selectivity by deposit-feeding organisms. Marine Biology, 93: 443-448.
Petersen 2007	Petersen, J. K. 2007. Ascidian suspension feeding. Journal of Experimental Marine Biology and Ecology, 342: 127-137.
Pethon 1994	Pethon, P. 1994. Aschehougs store fiskebok. 3rd edn. , Aschehougs & Co, Oslo, Norway.
Philips et al. 1999	Philips R.A., Petersen M. K., Lilliendahl K., Solmundsson J., hamer K.C., Camphuysen, Zonfrillo B. 1999. Diet of northern fulmar Fulmarus glacialis: reliance on commercial fisheries? Marine Biology. 135: 159-170
Plotnikova 1961	Plotnikova, E. D. 1961. On the diet of medusae in the littoral of eastern Murman. In Hydrological and biological features of th shore waters of Murman, pp. 153-166. Ed. by M. M. KAMSHILOV. Akad. Nauk. USSR Kolsk. fil.
Plyuscheva et al. 2004	Plyuscheva M., Martin D., Britayev T. 2004. Diet analysis of the scale-worms Leipidontussquamatus and harmothoe imbricata (Polycheata, Polynoidae), in the White Sea. Marine Biology Research. 6: 271 - 281
Poltermann 2001	Poltermann M., Arctic sea ice as feeding ground for amphipods–food sources and strategies. Polar Biology, 24: 89-96
Prokhorov 1965	Prokhorov, V. S. 1965. The ecology of the Barents Sea capelin (Mallotus vilosus villosus Muller) and the prospects of its industrial utilization. Fishery Research Board of Canada - Translation Series 813:156pp.
Prokopchuk & Sentyabov 2006	Prokopchuk, I., and Sentyabov, E. 2006. Diets of herring, mackerel, and blue whiting in the Norwegian Sea in relation to Calanus finmarchicus distribution and temperature conditions. ICES Journal of Marine Science, 63: 117-127.
Purcell 1991	Purcell, J. E. 1991. A review of cnidarians and ctenophores feeding on competitors in the plankton. Hydrobiologia, 216: 335-342.
Rodríguez-Marín et al. 1994	Rodríguez-Marín, Punzón A., Paz J., Olaso I. 1994. Feeding of Most Abundant Fish Species in Flamish Cap in Summer 1993. Northwest Atlantic Fisheries Organization
Román et al. 2004	Román E., González C., Ceballos E. 2004 Food and Feeding of Most Abundant Fish Species in Flemish Cap. Northwest Atlantic Fisheries Organization
Roshchin 2006	Roshchin, E. A. 2006. New data on morphometry, feeding, and parasitic fauna of Atlantic spiny lumpsucker Eumicrotremus spinosus (Cyclopteridae) from the Barents Sea. Journal of Ichthyology 46:582-586.
Ruppert & Barnes 1994	Ruppert E.E., Barnes R.D. 1994. (Book) Invertebrate Zoology, 6th edition. Philadelphia: Saunders College Publishing
Sainte-Marie & Brunel 1983	Sainte-Marie, B., and Brunel, P. 1983. Differences in life history and success between suprabenthic shelf populations of Arrhis phyllonyx (Amphipoda gammaridea) in two ecosystems of the Gulf of St. Lawrence. Journal of Crustacean Biology, 3: 45-69.
Salvanes & Nordeide 1993	Salvanes, A. G. V., and Nordeide, J. T. 1993. Dominating sublittoral fish species in a west Norwegian fjord and their trophic links to cod (Gadus morhua). Sarsia, 78: 221-234.
Sameoto 1980	Sameoto, D. D. 1980. Relationships between stomach contents and vertical migration in Meganyctiphanes norvegica, Thysanoëssa raschii and T. inermis (Crustacea Euphausiacea). Journal of Plankton Research, 2: 129-143.
Santos et al. 2002	Santos, M. B., Pierce, G. J., Hartmann, M. G., iacute, Smeenk, C., Addink, M. J., Kuiken, T. 2002. Additional notes on stomach contents of sperm whales Physeter macrocephalus stranded in the north-east Atlantic. Journal of the Marine Biological Association of the United Kingdom, 82: 501-507.
Santos & Pierce 2003	Santos M. B., Pierce G. J. 2003. The diet of harbour porpoise (Phocena phocena) in the northeast Atlantic. Oceanography and marine Biology: an Annual Review. 41: 355-390
Sarno et al. 1994	Sarno, B., Glass, C. W., and Smith, G. W. 1994. Differences in diet and behaviour of sympatric saithe and pollack in a Scottish sea loch. Journal of Fish Biology, 45: 1-11.
Satsepin & Petrova 1934-1938	Satsepin V.I and Petrova N. S. 1934-1938. The feeding of the Cod in the south part of the Barents Sea. Transactions of the knipovich polar Institute of sea-fisheries and oceanography, Murmansk, USSR. (In Russian)
Satsepin 1939	Satsepin V.I. 1939. Feeding of haddock in the region of the murmansk coast in relation to bottom fauna. Transactions of the knipovich polar Institute of sea-fisheries and oceanography, Murmansk, USSR. (In Russian)
Savenkoff et al. 2006	Savenkoff Cl, Savard L., Mrin B., Chabot D. 2006. Main prey and predators of northern shrimp (Pandalus borealis) in the northern Gulf of St. Lawrence during the mid 1980s, mid 1990s, and early 2000. Canadian technical report of fisheries and aquatic sciences 2639
Scott et al. 1999	Scott, C. L., Falk-Petersen, S., Sargent, J. R., Hop, H., Lønne, Ole J., Poltermann, M. 1999. Lipids and trophic interactions of ice fauna and pelagic zooplankton in the marginal ice zone of the Barents Sea. Polar Biology. 21: 65-70
Sergeant 1973	Sergeant, D. E. 1973. Feeding, Growthing, and Productivity of Northwest Atlantic Harp Seals (Pagophilus groenlandicus). Journal of the Fisheries Research Board of Canada, 30: 17-29.
Sheffield & Grebmeier 2009	Sheffield, G., and Grebmeier, J. M. 2009. Pacific walrus (Odobenus rosmarus divergens): Differential prey digestion and diet. Marine Mammal Science, 25: 761-777.
Shick et al. 1981	Shick, J. M., Edwards, K. C., and Dearborn, J. H. 1981. Physiological ecology of the deposit-feeding sea star Ctenodiscus crispatus: ciliated surfaces and animal-sediment interactions. Marine Ecology Progress Series, 5: 165-184.
Shunatova & Ostrovsky 2001	Shunatova, N. N., and Ostrovsky, A. N. 2001. Individual autozooidal behaviour and feeding in marine bryozoans. Sarsia, 86: 113-142.
Sigsgaard et al. 2003	Sigsgaard, S. J., Petersen, J. K., Iversen, J. J. L.. 2003. Relationship between specific dynamic action and food quality in the solitary ascidian Ciona intestinalis. Marine Biology. 143: 1143-1149
Similä et al. 1996	Similä, T., Holst, J. C., and Christensen, I. 1996. Occurrence and diet of killer whales in northern Norway: seasonal patterns relative to the distribution and abundance of Norwegian spring-spawning herring. Canadian Journal of Fisheries and Aquatic Sciences, 53: 769-779.
Skjæraasen & Bergstad 2000	Skjæraasen J.E. and Bergstad O.A. 2000. Distribution and feeding ecology of Raja radiata in the northeastern North Sea and Skagerrak (Norwegian Deep). ICES Journal of Marine Sciences. 57: 1249-1260
Skoglund et al. 2012	Skoglund, E. G., Lydersen, C., Grahl-Nielsen, O., Haug, T., Kovacs, K. M. 2010. Fatty acid composition of the blubber and dermis of adult male Atlantic walruses (Odobenus rosmarus rosmarus) in Svalbard, and their potential prey. Marine Biology Research. 6: 239-250.
Squires & Dawe 2003	Squires, H. J., Dawe, E. G. 2003. Stomach contents of snow crab (Chionoecetes opilio, Decapoda, Brachyura) from the Northeast Newfoundland Shelf. Journal of Northwest Atlantic Fishery Science. 32: XXXX-XXXX
Skjoldal et al. 2004	Skjoldal H.R., Dalpadado P., Dommasnes A. 2004. Food webs and trophic interactions. The Norwegian Sea Ecosystem. Trondheim: Tapir Academic Press
Svavarsson et al. 1993	Svavarsson, J., Stromberg, J. O., and Brattegard, T. 1993. The deep-sea asellotes (Isopoda, Crustacea) fauna of the Northern Seas: species composition, distribution patterns and origin. journal of Biography, 20: 537-555.
Swanberg 1974	Swanberg, N. 1974. Feeding Behavior of Beroe-Ovata. Marine Biology, 24: 69-76.
Süfke et al. 1998	Süfke, L., Piepenburg, D., von Dorrien, C. F. 1998. Body size, sex ratio and diet composition of Arctogadus glacialis (Peters, 1874)(Pisces: Gadidae) in the Northeast Water Polynya (Greenland). Polar Biology. 20: 377-363
Templeman 1982	Templeman, W. 1982. Stomach Contents of the Thorny Skate , Raja radiata, from the Northwest Atlantic. Journal Northweast Atlantic Fish. Sci., 3: 123-126.
Templeman 1986	Templeman, W. 1986. Contributions to the Biology of the Spotted Wolffish (Anarhichas minor) in the Northwest Atlantic. Journal of Northwest Atlantic Fishery Science, 7.
Terazaki 1996	Terazaki, M. 1996. Vertical distribution of pelagic chaetognaths and feeding of Sagitta enflata in the Central Equatorial Pacific. Journal of Plankton Research. 18: 673-682
Thiemann et al. 2008	Thiemann, G.W., Iverson, S.J. and Stirling, I. (2008) Polar bear diets and Arctic marine food webs: insights from fatty acid analysis. Ecological Monographs, 78: 591-613.
Tönnesson & Tiselius 2005	Tönnesson, K., and Tiselius, P. 2005. Diet of the chaetognaths Sagitta setosa and S. elegans in relation to prey abundance and vertical distribution. Marine Ecology Progress Series, 289: 177-190.
Turner 1984	Turner, J. T.  1984. The feeding ecology of some zooplankters that are important prey items of larval fish. US Department of Commerce, National Oceanic and Atmospheric Administration, National Marine Fisheries Service (Book)
Vadas 1977	Vadas, R. L. 1977. Preferential Feeding - Optimization Strategy in Sea-Urchins. Ecological Monographs, 47: 337-371.
Vafidis et al. 2009	Vafidis, D., A. Kallianiotis, N. Chartosia, and A. Koukouras. 2009. The Sepioidea ( Cephalopoda , Mollusca ) fauna of the Aegean Sea : comparison with the neighbouring seas and notes on their diet composition. Journal of biological Research 11:57 - 71.
Valtysson 1995	Valtysson, H. T. 1995. Feeding habits and distribution of eelpout species (Lycodes sp.) (Reinhardt) (Pisces: Zoarcidae) in Icelandic waters. Postgraduate thesis. In Department of Biology. University of Iceland, Reykjavik.
Vega-Perez & Liang 1992	Vega-Perez, L.A., Liang, T. H. 1992. Feeding of a pelagic chaetognath , Sagittafriderici Ritter-Záhony off Ubatuba region (Sao Paulo, Brazil). Bolm inst. oceanogr. S Paulo. 40: 93-100
Vannier et al. 1998	Vannier, J., Abe, K., and Ikuta, K. 1998. Feeding in myodocopid ostracods: functional morphology and laboratory observations from videos. Marine Biology, 132: 391-408.
Vesin et al. 1981	Vesin et al. 1981, J. P., Leggett, W. C., and Able, K. W. 1981. Feeding ecology of capelin (Mallotus villosus) in the estuary and western Gulf of St Lawrence and Its multispecies implications. Canadian Journal of Fisheries and Aquatic Sciences, 38: 257-267.
Vikingsson et al. 2003	Vikingsson G.A., Olafsdottir, D., Sigurjonsson, J. 2003. Diet of harbour porpoises (Phocoena phocoena) in Icelandic coatal waters. NAMMCO Scientific Publications, 5:243-270
Vollen 2004	Vollen T., Albert O.T., Nilssen E. M. 2004. Diet composition and feeding behaviour of juvenile Greenland halibut (Reinharditus hipppoglossoides) in the Svalbard area. Journal of Sea Research. Vol 51: 251-259
Werner et al. 2002	Werner, I., Auel, H., Friedrich, C. 2002. Carnivorous feeding and respiration of the Arctic under-ice amphipod Gammarus wilkitzkii. Polar Biology. 25:523-530
Weslawski et al. 1994	Weslawski, J. M., Ryg, M., Smith, T. G., and Oritsland, N. A. 1994. Diet of Ringed Seals (Phoca hispida) in a Fjord of West Svalbard. Arctic, 47: 109-114.
Weslawski et al. 1999	Weslawski, J. M., Stempniewicz L., Mehlum F., Kwasnieswski. 1999. Summer feeding strategy of the little auk (Alle alle) from Bjørnøya, Barents Sea. Polar Biology. 21: 129-134
Wienberg 1980	Wienberg, R. 1980 On the food and feeding of Pandalus borealis Kroyer 1838. Arch. Fischeriwiss. 31. pp. 123-137. Englisch
Woll & Gundersen 2004	Woll A. K., Gundersen A. C. 2004. Diet composition and intra-specific competition of young Greenland halibut around southern Greenalnd. Journal of Sea Reserach. 51: 243-249
Wolkers et al. 2006	Wolkers, H., Hammill, M. O., and van Bavel, B. 2006. Tissue-specific accumulation and lactational transfer of polychlorinated biphenyls, chlorinated pesticides, and brominated flame retardants in hooded seals (Cistophora cristata) from the Gulf of St. Lawrence: Applications for monitoring. Environmental Pollution, 142: 476-486.
WoRMS	WoRMS World Register of Marine Species: http://www.marinespecies.org/
Yano et al. 2007	Yano, K., Stevens, J. D., and Compagno, L. J. V. 2007. Distribution, reproduction and feeding of the Greenland shark Somniosus (Somniosus) microcephalus, with notes on two other sleeper sharks, Somniosus (Somniosus) pacificus and Somniosus (Somniosus) antarcticus. Journal of Fish Biology, 70: 374-390.
Young & Blaber 1986	Young, J. W., and Blaber, S. J. M. 1986. Feeding ecology of three species of midwater fishes associated with the continental slope of eastern Tasmania, Australia. Marine Biology, 93: 147-156.
Young & Rhoads 1971	Young, D. K.,  Rhoads, D. C. 1971. Animal-sediment relations in Cape Cod Bay, Massachusetts I. A transect study. Marine Biology. 11: 242-254            
Øigård et al. 2013	Øigård, T.A., Lindstrøm, U., Haug, T., Nilssen K.T., Smout, S. 2013 Functional relationship between harp seal body condition and avaiable prey in the Barents Sea.  Marine Ecology Progress Series, 484: 287-301.
Øresland 1990	Øresland, V. 1990. Feeding and predation impact of the chaetognath Eukrohnia hamata in Gerlache Strait, Antarctic Peninsula. Marine ecology progress series. 63: 201-209
